Metrica,Valor,Explicacao,Variavel,Importancia
RMSE,0.4442299640131331,"RMSE (Erro Quadrático Médio Raiz): Mede a qualidade do modelo, indicando o desvio padrão dos resíduos (erros de previsão). Quanto menor, melhor o modelo.Exemplo: É como a média da distância que suas flechas caem do centro do alvo. Um RMSE de 0.4442 significa que, em média, suas flechas caem a cerca de 0.4442 metros do ponto que você queria acertar. Quanto menor esse número, mais perto do centro suas flechas estão caindo, o que significa que suas previsões são mais precisas.",Variavel_1,0.0006960804617871443
MAE,0.12070300511780034,"MAE (Erro Absoluto Médio): Média dos erros absolutos das previsões, fornece uma ideia da magnitude dos erros sem considerar sua direção. Exemplo: É a média de quão longe suas flechas estão do centro do alvo, sem se preocupar se elas caíram para a esquerda ou para a direita, apenas o quão longe elas estão. Um MAE de 0.1207 significa que, em média, suas flechas estão a 0.1207 metros do centro.",Variavel_2,0.010371429167569817
R²,0.8216691940993928,"R² (Coeficiente de Determinação): Proporção da variância da variável dependente que é previsível a partir das variáveis independentes. Varia de 0 a 1, com valores mais altos indicando melhor ajuste. Exemplo: Diz o quanto o modelo que você está usando para mirar é bom em prever onde as flechas vão cair. Um R² de 0.8217 significa que 82.17% do tempo, o modelo pode prever com sucesso onde a flecha vai cair baseado em como você está mirando.",Variavel_3,2.644784604592503e-05
,,,Variavel_4,7.648650241919163e-05
,,,Variavel_5,1.9991521681442145e-06
,,,Variavel_6,0.0004035832789656555
,,,Variavel_7,0.00014630312567757807
,,,Variavel_8,7.080457427750106e-05
,,,Variavel_9,0.00196194749484462
,,,Variavel_10,0.00028648661046406593
,,,Variavel_11,0.00023981235007612277
,,,Variavel_12,0.009477382921682303
,,,Variavel_13,0.004061513253519682
,,,Variavel_14,7.110560702104997e-07
,,,Variavel_15,5.138839046526401e-06
,,,Variavel_16,0.1644664556565881
,,,Variavel_17,0.019212685758353904
,,,Variavel_18,8.440790400443668e-07
,,,Variavel_19,0.05681989406938821
,,,Variavel_20,5.531364863038533e-05
,,,Variavel_21,0.008273610370116438
,,,Variavel_22,0.0015677672418856438
,,,Variavel_23,0.0032620672621171305
,,,Variavel_24,0.00022345200531617178
,,,Variavel_25,2.734510847244378e-05
,,,Variavel_26,0.001062149542882758
,,,Variavel_27,0.045352895456683605
,,,Variavel_28,0.02043521518450479
,,,Variavel_29,0.047668901425243465
,,,Variavel_30,0.011710949175978045
,,,Variavel_31,0.0022728831827634644
,,,Variavel_32,0.014750597484895524
,,,Variavel_33,0.008109572205374116
,,,Variavel_34,0.006613360411302415
,,,Variavel_35,0.007749348589202321
,,,Variavel_36,2.958923644578876e-05
,,,Variavel_37,5.06882371777534e-05
,,,Variavel_38,5.57982382245908e-06
,,,Variavel_39,0.0003834249586039821
,,,Variavel_40,0.0
,,,Variavel_41,0.062004872243585425
,,,Variavel_42,0.025906332373538517
,,,Variavel_43,0.008789587653669528
,,,Variavel_44,0.006804837031014046
,,,Variavel_45,0.05943525983155977
,,,Variavel_46,0.1277274390064309
,,,Variavel_47,0.018719496748110378
,,,Variavel_48,0.01165165697339856
,,,Variavel_49,0.024170524291549093
,,,Variavel_50,0.017415207804614252
,,,Variavel_51,0.02076593402853226
,,,Variavel_52,0.005034093248303474
,,,Variavel_53,0.004176818506463543
,,,Variavel_54,0.003207698409051112
,,,Variavel_55,0.0029690218118405567
,,,Variavel_56,6.925301658571605e-05
,,,Variavel_57,7.033095583009644e-06
,,,Variavel_58,0.000885901450772502
,,,Variavel_59,0.0047144023974476194
,,,Variavel_60,0.001044312043359121
,,,Variavel_61,0.0005816063804395617
,,,Variavel_62,0.01574403936687835
,,,Variavel_63,0.0016895871380685585
,,,Variavel_64,0.00295382890198687
,,,Variavel_65,0.004135034751591292
,,,Variavel_66,0.0003943818205620383
,,,Variavel_67,0.0018167918297064705
,,,Variavel_68,0.0003082397737082204
,,,Variavel_69,0.00020166687457504306
,,,Variavel_70,0.00021436889332581183
,,,Variavel_71,0.00013133120709119838
,,,Variavel_72,0.0002829418154604522
,,,Variavel_73,0.00010060689872823326
,,,Variavel_74,0.0015642323925879856
,,,Variavel_75,0.0005348352860381098
,,,Variavel_76,0.036133558148303636
,,,Variavel_77,0.0192312918145547
,,,Variavel_78,0.02801810864613642
,,,Variavel_79,0.032533149345444094
